λ1  P_cola(λ1)
0.50  -3.971
1.00  -2.057
1.50  -1.072
2.00  -0.472
2.50  -0.068
3.00  0.222
3.50  0.441
4.00  0.612
4.50  0.749
5.00  0.862
5.50  0.956
6.00  1.035
6.50  1.103
7.00  1.163
7.50  1.215
8.00  1.260
8.50  1.301
9.00  1.338
9.50  1.371
10.00  1.400
10.50  1.428
11.00  1.452
11.50  1.475
12.00  1.496
12.50  1.515
13.00  1.533
13.50  1.550
14.00  1.565
14.50  1.579
15.00  1.593
15.50  1.606
16.00  1.617
16.50  1.629
17.00  1.639
17.50  1.649
18.00  1.659
18.50  1.668
19.00  1.676
19.50  1.684
20.00  1.692
